年,月,銘柄,投資方法,投資額,評価額,累計投資額,累計評価額,損益,累計損益,損益率,備考,証券会社
2024,11,,,0,0,0,0,0,0,0.0,,
2024,12,,,0,0,0,0,0,0,0.0,,
2025,1,,,0,0,0,0,0,0,0.0,,
2025,2,,,0,0,0,0,0,0,0.0,,
2025,3,,,0,0,0,0,0,0,0.0,,
2025,4,,,0,0,0,0,0,0,0.0,,
2025,5,,,0,0,0,0,0,0,0.0,,
2025,6,,,0,0,0,0,0,0,0.0,,
2025,7,,,0,0,0,0,0,0,0.0,,
2025,8,,,0,0,0,0,0,0,0.0,,
2025,9,TOYOTA DC,企業DC,1370782,1081985,1370782,1081985,-288797,-288797,-21.06804728979517,,野村証券
2016,4,TOYOTA,持ち株,0,0,1370782,1081985,0,-288797,-21.06804728979517,,
2024,10,TOYOTA,企業DC,642799,1126509,2013581,2208494,483710,194913,9.679918513335197,,野村証券
